sample	hier_label	hier_label16	hier_label32	branch_length	label	color	annotation_name
2024.EXT.0725.1552.340_Bme_Austria	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.2.2	FFFC6	VVU6	6.11570e-06		#33ffff	
2024.EXT.0725.2146.360_Bme_Turkey	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.2	FFFC8	VVU8	1.22314e-05		#33ffff	
n963	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2	FFFD	VVUG	7.03300e-06	100	#33ffff	
n964	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.1	FFFD0	VVUG	1.96124e-05	100	#33ffff	
2024.EXT.0725.1330.270_Bme	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.1.1	FFFD0	VVUG	3.97520e-06		#33ffff	
2024.EXT.0725.1335.440_Bme	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.1.2	FFFD4	VVUK	5.50410e-06		#33ffff	
n967	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2	FFFD8	VVUO	4.28090e-06	100	#33ffff	
n968	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.1	FFFD8	VVUO	1.83470e-06	100	#33ffff	
n969	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.1.1	FFFD8	VVUO	2.14050e-06	100	#33ffff	
2024.EXT.0725.1333.170_Bme	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.1.1.1	FFFD8	VVUO	1.00909e-05		#33ffff	
2024.EXT.0725.2055.130_Bme	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.1.1.2	FFFD9	VVUP	7.03300e-06		#33ffff	
2024.EXT.0725.1444.020_Bme_Iran	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.1.2	FFFDA	VVUQ	9.78510e-06		#33ffff	
n973	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2	FFFDC	VVUS	7.64460e-06	100	#33ffff	
2024.EXT.0725.1438.380_Bme_Iran	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.1	FFFDC	VVUS	7.03300e-06		#33ffff	
2024.EXT.0725.1439.180_Bme_Iran	2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2	FFFDE	VVUU	5.19830e-06		#33ffff	
n976	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2	FFFE	VVV	2.44620e-06	100	#33ffff	
n977	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1	FFFE	VVV0	3.36360e-06	99	#33ffff	
n978	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1	FFFE0	VVV0	3.48130e-06	100	#33ffff	
n979	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1	FFFE0	VVV0	2.75200e-06	97	#33ffff	
